[Retainability,HOSR,RSRP,RSRQ,SINR,Throughput,Distance,FaultCause]
0.875,0.682,-69.342,-19.909,11.93,189.506,0.598,1
0.862,0.714,-66.498,-20.033,11.887,132.602,0.668,1
0.917,0.75,-64.745,-19.234,15.625,272.123,0.652,1
0.983,0.95,-65.988,-19.188,12.45,177.781,0.548,1
0.933,0.905,-70.25,-19.874,10.888,157.869,0.667,1
0.961,0.941,-62.604,-19.772,14.825,223.262,0.668,1
0.922,0.8,-65.911,-20.06,12.748,150.873,0.708,1
0.891,0.857,-64.424,-19.641,13.075,147.336,0.622,1
0.94,0.833,-66.647,-19.929,13.425,173.648,0.568,1
0.93,0.813,-64.769,-19.542,15.093,164.136,0.675,1
0.925,0.84,-68.507,-20.406,11.586,152.989,0.645,1
0.962,0.889,-62.493,-19.797,13.171,187.169,0.681,1
0.813,0.647,-63.055,-20.222,14.072,148.841,0.642,1
0.937,0.893,-62.777,-20.251,12.825,148.841,0.705,1
0.944,0.88,-66.091,-20.119,13.583,173.127,0.687,1
0.897,0.783,-62.734,-19.499,15.346,212.268,0.69,1
0.896,0.792,-62.783,-19.799,14.71,187.576,0.625,1
0.891,0.737,-62.07,-19.982,14.257,169.841,0.692,1
0.938,0.8,-64.911,-19.953,14.513,179.809,0.59,1
0.922,0.839,-65.713,-20.342,14.27,165.689,0.699,1
0.833,0.75,-67.363,-20.072,10.881,157.443,0.674,1
0.942,0.929,-65.1,-20.324,12.668,177.603,0.707,1
0.945,0.9,-64.386,-19.5,15.27,173.648,0.625,1
0.957,0.857,-64.651,-18.971,13.576,157.553,0.52,1
0.968,0.909,-70.559,-19.177,11.804,176.626,0.546,1
0.956,0.905,-59.595,-19.121,13.937,177.514,0.545,1
0.965,0.889,-70.109,-19.294,12.023,173.648,0.544,1
0.943,0.85,-65.231,-20.066,14.477,151.079,0.602,1
0.92,0.833,-68.455,-20.323,12,113.736,0.622,1
0.956,0.913,-64.896,-19.489,15.23,161.908,0.585,1
0.928,0.833,-70.51,-19.812,12.362,145.434,0.58,1
0.98,0.955,-63.884,-19.848,15.327,192.748,0.603,1
0.927,0.75,-67.295,-19.42,12.773,186.997,0.544,1
0.932,0.826,-66.902,-20.056,13.982,164.233,0.589,1
0.939,0.826,-65.768,-19.811,13.437,134.175,0.58,1
0.982,0.964,-67.12,-20.214,13.394,117.751,0.578,1
0.926,0.8,-60.495,-19.733,14.911,192.941,0.581,1
0.964,0.92,-70.075,-20.075,11.631,116.926,0.563,1
0.875,0.741,-65.204,-19.609,14.07,206.064,0.537,1
0.983,0.955,-67.455,-19.543,12.948,186.385,0.524,1
0.932,0.733,-64.187,-19.903,13.898,217.227,0.552,1
0.898,0.833,-69.442,-19.74,11.804,147.336,0.543,1
0.911,0.688,-72.759,-19.507,10.989,144.153,0.577,1
0.921,0.792,-64.741,-19.848,14.127,182.845,0.566,1
0.942,0.769,-75.62,-20.105,11.086,157.443,0.576,1
0.967,0.913,-71.468,-20.477,10.882,132.339,0.65,1
0.964,0.917,-64.581,-19.595,12.527,163.804,0.565,1
0.959,0.895,-72.967,-19.619,11.121,143.788,0.566,1
0.891,0.794,-67.069,-20.513,14.612,148.692,0.607,1
0.891,0.778,-69.895,-19.719,12.332,168.235,0.584,1
0.931,0.857,-66.977,-19.792,12.449,134.175,0.575,1
0.947,0.778,-65.994,-19.287,11.981,148.692,0.555,1
0.921,0.72,-67.393,-20.23,13.344,147.336,0.589,1
0.947,0.733,-66.9,-18.997,14.621,163.378,0.568,1
0.969,0.9,-67.783,-19.75,12.979,148.395,0.573,1
0.887,0.7,-72.625,-19.944,10.137,132.602,0.581,1
0.907,0.789,-66.1,-20.463,13.485,133.345,0.601,1
0.901,0.65,-65.004,-18.636,13.866,177.657,0.506,1
0.947,0.933,-74.233,-19.637,10.879,164.465,0.56,1
0.958,0.818,-66.04,-19.073,12.921,154.291,0.538,1
0.898,0.826,-73.302,-20.148,12.751,148.692,0.544,1
0.902,0.826,-65.937,-19.57,12.92,192.748,0.581,1
0.918,0.786,-68.882,-19.934,12.701,153.771,0.558,1
0.898,0.839,-66.936,-20.06,12.854,151.452,0.584,1
0.925,0.818,-69.673,-19.984,12.735,154.523,0.581,1
0.98,0.933,-58.864,-20.065,15.65,228.833,0.574,1
1,1,-70.186,-19.076,13.318,163.088,0.606,1
0.917,0.769,-68.201,-19.303,12.23,153.008,0.632,1
0.952,0.85,-68.1,-19.054,13.673,148.841,0.594,1
0.969,0.867,-68.502,-19.445,14.208,222.369,0.638,1
1,1,-66.767,-19.089,13.538,209.886,0.585,1
0.988,0.964,-67.06,-18.948,12.367,147.336,0.618,1
0.986,0.938,-67.011,-18.605,13.008,166.203,0.598,1
0.985,0.952,-71.244,-19.502,12.313,156.444,0.613,1
0.947,0.778,-68.37,-19.101,11.724,157.702,0.615,1
0.986,0.917,-70.128,-18.57,12.26,177.781,0.6,1
0.983,0.955,-67.384,-19.6,13.31,137.721,0.633,1
0.972,0.909,-67.189,-19.125,12.92,148.692,0.608,1
0.975,0.875,-68.765,-19.186,14.124,158.672,0.598,1
0.946,0.865,-69.812,-19.191,11.674,133.254,0.618,1
0.969,0.905,-68.35,-18.849,12.731,177.781,0.585,1
0.912,0.808,-69.714,-19.537,11.064,132.604,0.612,1
0.961,0.903,-66.786,-19.532,15.554,151.603,0.587,1
0.944,0.862,-69.51,-19.227,12.407,138.797,0.585,1
0.983,0.952,-68.374,-19.384,13.477,187.775,0.638,1
0.986,0.947,-67.375,-19.05,14.461,162.235,0.581,1
1,1,-68.887,-19.399,11.868,138.434,0.602,1
0.973,0.933,-68.328,-19.027,13.172,164.63,0.579,1
0.964,0.895,-68.856,-18.603,11.11,138.136,0.589,1
0.986,0.952,-66.334,-19.339,13.746,138.234,0.612,1
0.987,0.947,-72.197,-19.579,12.593,138.274,0.593,1
1,1,-68,-18.976,11.856,157.869,0.605,1
0.986,0.952,-67.361,-19.278,14.605,186.297,0.582,1
1,1,-66.848,-19.156,13.666,176.803,0.6,1
0.922,0.737,-66.009,-19.4,14.215,157.869,0.593,1
0.933,0.833,-68.04,-18.987,13.843,179.004,0.601,1
0.97,0.92,-69.068,-19.085,13.39,177.657,0.595,1
0.989,1,-69.468,-18.816,12.635,137.867,0.586,1
0.92,0.806,-69.675,-19.347,13.337,146.894,0.623,1
0.974,0.895,-67.915,-19.155,10.907,147.336,0.595,1
0.986,0.952,-67.539,-18.733,13.957,151.603,0.58,1
0.939,0.88,-68.515,-19.161,13.225,151.123,0.628,1
1,1,-68.888,-18.651,11.983,172.67,0.582,1
0.984,0.947,-68.708,-19.249,13.565,168.235,0.599,1
1,1,-71.272,-19.467,10.764,132.604,0.595,1
0.974,0.935,-68.268,-19.668,14.29,150.77,0.594,1
0.892,0.81,-70.624,-19.629,11.995,142.968,0.606,1
0.945,0.828,-67.843,-19.515,12.807,133.681,0.617,1
1,1,-68.471,-19.77,10.622,139.195,0.613,1
0.962,0.88,-66.845,-19.005,13.671,163.541,0.716,1
1,1,-63.284,-19.112,12.964,147.662,0.69,1
0.979,0.931,-67.637,-19.218,11.367,163.411,0.707,1
0.967,0.875,-67.922,-19.658,11.149,134.041,0.716,1
0.935,0.813,-61.503,-19.631,13.665,149.302,0.71,1
0.979,0.929,-64.274,-19.182,12.802,147.336,0.699,1
0.94,0.833,-69.622,-18.799,13.064,177.781,0.675,1
0.968,0.9,-71.032,-19.098,12.493,132.47,0.698,1
0.948,0.871,-64.348,-19.526,13.371,157.443,0.686,1
0.989,0.968,-65.195,-19.434,12.145,147.336,0.721,1
0.989,1,-63.148,-18.829,14.154,139.619,0.69,1
0.979,0.931,-69.143,-19.231,12.312,132.47,0.729,1
0.973,0.964,-63.47,-19.388,13.554,142.539,0.716,1
0.985,0.962,-65.476,-19.106,10.93,132.729,0.734,1
0.956,0.875,-68.255,-19.044,10.887,132.602,0.708,1
0.979,0.943,-65.024,-19.101,12.639,123.608,0.707,1
0.972,0.909,-70.009,-19.479,12.447,137.948,0.735,1
0.962,0.897,-67.172,-19.149,12.814,128.959,0.699,1
0.967,0.909,-63.654,-19.456,13.474,146.15,0.721,1
0.97,0.903,-67.463,-18.822,11.853,129.227,0.68,1
0.952,0.871,-69.622,-19.448,10.628,121.283,0.736,1
0.963,0.909,-66.414,-19.376,13.094,157.869,0.725,1
0.978,0.923,-61.52,-19.131,15.329,181.166,0.71,1
0.988,0.966,-70.963,-19.414,12.236,157.544,0.742,1
0.963,0.906,-65.174,-19.538,12.011,137.004,0.73,1
0.954,0.902,-68,-19.383,11.228,118.402,0.717,1
0.973,0.939,-70.354,-19.434,12.394,157.454,0.712,1
0.97,0.893,-64.204,-19.388,12.243,152.606,0.714,1
0.979,0.905,-65.931,-19.078,12.948,153.024,0.721,1
1,1,-64.409,-19.324,14.914,157.443,0.706,1
0.97,0.889,-67.453,-18.868,12.166,133.322,0.693,1
0.98,0.939,-66.713,-19.376,10.998,138.136,0.727,1
1,1,-67.179,-19.101,12.073,135.645,0.696,1
0.981,0.95,-69.545,-19.169,11.735,138.274,0.728,1
0.961,0.913,-64.083,-19.629,12.396,118.195,0.728,1
0.98,0.909,-64.208,-18.918,14.242,153.705,0.678,1
0.967,0.919,-67.042,-19.433,13.063,131.258,0.688,1
0.957,0.852,-72.68,-19.59,11.219,119.004,0.739,1
0.964,0.893,-60.516,-19.099,16.016,159.734,0.727,1
0.979,0.905,-64.686,-18.808,13.845,173.188,0.684,1
0.989,0.962,-65.171,-19.268,14.394,144.463,0.696,1
0.977,0.923,-63.432,-19.089,12.448,144.2,0.716,1
0.972,0.903,-62.152,-19.355,13.904,125.242,0.715,1
0.927,1,-73.777,-17.968,13.759,108.765,0.906,2
0.905,0.958,-74.548,-18.104,13.53,99.228,0.932,2
0.934,0.968,-73.727,-17.852,14.851,128.628,0.933,2
0.911,0.957,-74.15,-18.139,14.188,118.521,0.919,2
0.888,1,-75.452,-17.79,12.831,115.802,0.907,2
0.919,0.956,-72.374,-18.014,15.967,124.202,0.933,2
0.882,0.962,-74.994,-18.078,14,117.869,0.907,2
0.894,0.914,-74.425,-18.241,14.787,97.063,0.933,2
0.898,0.924,-74.827,-18.462,14.318,93.713,0.913,2
0.902,0.957,-76.263,-18.389,13.284,93.747,0.89,2
0.94,0.946,-71.059,-18.055,13.94,89.065,0.889,2
0.911,0.941,-69.267,-18.172,12.985,98.767,0.893,2
0.923,0.982,-68.215,-18.272,14.605,96.326,0.878,2
0.934,0.952,-68.183,-18.107,15.801,96.277,0.912,2
0.909,0.878,-68.311,-17.999,14.825,98.767,0.886,2
0.915,1,-68.895,-17.988,15.279,88.853,0.865,2
0.938,0.969,-69.764,-17.787,14.727,108.874,0.899,2
0.946,0.945,-72.309,-18.347,13.003,78.935,0.871,2
0.944,1,-72.808,-17.727,14.57,88.728,0.921,2
0.911,0.953,-74.564,-17.939,14.381,118.521,0.912,2
0.902,0.963,-74.986,-18.08,13.057,105.101,0.921,2
0.907,0.975,-72.305,-17.967,14.455,113.387,0.892,2
0.924,1,-76.38,-17.826,12.482,106.471,0.93,2
0.933,0.971,-74.9,-17.866,14.828,123.662,0.914,2
0.865,0.979,-76.683,-17.966,14.164,103.135,0.93,2
0.919,1,-74.457,-17.596,15.003,118.077,0.898,2
0.918,0.976,-71.908,-17.945,15.297,124.034,0.942,2
0.93,0.911,-72.098,-17.89,15.118,108.799,0.92,2
0.929,0.975,-72.43,-17.902,14.513,117.751,0.867,2
0.905,0.978,-73.392,-18.331,14.525,128.242,0.935,2
0.909,0.829,-72.337,-17.743,15.303,115.875,0.898,2
0.914,0.938,-76.617,-17.649,12.331,112.454,0.914,2
0.898,0.957,-72.135,-18.089,15.654,113.814,0.919,2
0.856,0.875,-74.549,-17.95,13.237,113.501,0.941,2
0.934,0.946,-76.378,-18.014,13.647,123.848,0.854,2
0.895,1,-73.272,-17.865,14.968,121.156,0.896,2
0.916,0.978,-74.791,-17.682,14.111,112.67,0.904,2
0.913,0.962,-75.778,-18.102,12.415,98.93,0.912,2
0.936,0.974,-72.969,-17.909,14.913,113.847,0.927,2
0.905,0.932,-74.057,-17.281,14.785,108.908,0.912,2
0.868,0.967,-73.296,-18.069,14.864,94.08,0.894,2
0.944,0.976,-75.091,-18.095,14.077,109.225,0.905,2
0.921,0.983,-74.273,-17.749,14.092,96.471,0.951,2
0.927,0.966,-75.165,-18.17,13.783,94.174,0.917,2
0.88,0.98,-75.857,-17.992,12.818,92.669,0.941,2
0.902,1,-74.162,-17.842,12.784,122.72,0.895,2
0.94,0.949,-73.248,-17.979,14.463,109.334,0.907,2
0.876,0.946,-73.208,-17.645,15.356,138.274,0.881,2
0.89,0.98,-75.072,-18.169,13.79,99.261,0.879,2
0.894,0.922,-71.516,-17.922,15.136,113.961,0.921,2
0.885,0.932,-72.41,-18.005,14.883,117.869,0.939,2
0.924,1,-73.593,-17.46,14.604,141.031,0.906,2
0.926,0.978,-71.946,-17.954,15.322,107.826,0.903,2
0.892,0.944,-71.552,-17.643,16.547,128.628,0.873,2
0.923,0.94,-74.442,-18.032,13.678,108.782,0.945,2
0.861,0.83,-73.818,-18.235,14.856,105.561,0.887,2
0.892,0.978,-73.379,-17.769,14.35,104.996,0.874,2
0.879,0.852,-75.592,-17.93,13.653,108.481,0.906,2
0.888,0.902,-75.566,-18.052,13.802,98.767,0.88,2
0.893,0.965,-73.757,-17.875,15.001,113.501,0.936,2
0.927,0.98,-71.828,-18.029,15.237,100.357,0.88,2
0.965,1,-71.668,-17.985,13.846,98.93,0.875,2
0.946,1,-67.479,-17.915,15.191,109.469,0.891,2
0.914,0.907,-70.224,-17.822,15.175,98.767,0.897,2
0.888,0.895,-68.297,-17.986,14.367,102.241,0.892,2
0.925,0.966,-70.959,-17.693,14.545,104.281,0.87,2
0.93,0.956,-68.949,-18.158,14.2,99.228,0.89,2
0.931,0.981,-68.151,-18.314,15.449,89.154,0.889,2
0.931,1,-69.333,-18.315,16.047,103.358,0.892,2
0.923,0.931,-73.763,-17.886,13.36,88.402,0.893,2
0.944,0.96,-69.526,-18.128,13.576,79.014,0.89,2
0.956,1,-68.92,-18.202,14.459,89.032,0.894,2
0.927,0.958,-69.536,-18.121,13.641,98.508,0.956,2
0.929,0.971,-70.276,-18.112,13.974,93.747,0.884,2
0.936,1,-73.779,-18.208,10.66,79.148,0.895,2
0.94,0.946,-69.444,-17.983,14.969,93.747,0.854,2
0.919,0.963,-68.138,-18.135,15.11,93.721,0.913,2
0.938,0.973,-69.84,-17.804,14.513,103.543,0.867,2
0.941,0.977,-67.713,-17.578,14.779,98.304,0.875,2
0.934,1,-74.047,-18.49,13.328,78.381,0.894,2
0.983,1,-69.673,-18.203,13.905,79.014,0.904,2
0.939,0.978,-72.531,-18.078,13.201,84.528,0.91,2
0.939,0.976,-69.534,-18.09,14.331,94.08,0.897,2
0.902,0.953,-69.466,-18.218,13.395,88.402,0.911,2
0.958,0.972,-67.514,-17.746,15.433,83.775,0.856,2
0.924,0.933,-72.155,-18.115,13.311,78.935,0.891,2
0.928,0.946,-71.474,-18.127,13.192,87.98,0.881,2
0.896,0.902,-71.427,-17.977,14.18,93.63,0.889,2
0.924,1,-66.713,-18.058,15.014,91.654,0.88,2
0.917,0.918,-70.792,-18.313,13.79,83.775,0.878,2
0.931,1,-73.844,-18.081,14.856,94.08,0.879,2
0.929,0.95,-71.268,-18.099,14.038,82.602,0.882,2
0.919,0.935,-73.894,-17.991,12.409,74.421,0.879,2
0.94,0.979,-69.237,-17.883,14.592,90.344,0.912,2
0.944,0.961,-72.664,-18.033,13.646,79.395,0.879,2
0.93,0.927,-67.803,-17.814,16.337,90.133,0.887,2
0.963,0.979,-72.368,-18.086,11.851,78.363,0.903,2
0.907,0.925,-69.964,-18.538,14.687,93.654,0.872,2
0.922,0.956,-70.389,-18.123,14.563,89.121,0.898,2
0.94,0.953,-69.163,-18.199,13.592,100.381,0.896,2
0.926,0.905,-70.613,-17.691,14.599,93.882,0.886,2
0.925,0.979,-70.005,-18.069,14.165,88.402,0.869,2
0.915,0.953,-71.007,-18.069,12.257,90.944,0.876,2
0.908,0.917,-73.06,-17.817,5.935,63.89,0.887,3
0.907,0.891,-74.198,-18.27,5.418,58.004,0.914,3
0.92,0.953,-75.585,-18,5.582,60.745,0.9,3
0.907,0.898,-72.714,-18.077,5.712,59.428,0.885,3
0.937,0.935,-73.064,-18.113,6.28,64.35,0.897,3
0.92,0.953,-70.454,-18.288,5.615,50.484,0.911,3
0.891,0.893,-71.973,-18.233,5.894,66.767,0.896,3
0.931,0.927,-72.211,-18.405,5.4,58.934,0.886,3
0.922,0.853,-71.952,-18.044,5.757,58.934,0.901,3
0.92,0.922,-72.629,-18.462,5.441,58.875,0.907,3
0.938,1,-70.958,-17.808,9.185,103.888,0.893,3
0.95,0.889,-73.783,-18.222,7.92,73.594,0.892,3
0.965,0.976,-74.996,-18.213,7.89,73.155,0.888,3
0.964,1,-75.65,-17.975,7.861,69.041,0.905,3
0.957,0.95,-73.866,-18.128,8.292,69.265,0.861,3
0.936,0.944,-74.534,-18.069,8.815,64.35,0.874,3
0.966,0.957,-70.053,-18.302,8.662,77.528,0.882,3
0.977,0.944,-77.721,-18.223,7.658,59.116,0.879,3
0.954,0.975,-70.634,-18.313,8.454,73.447,0.904,3
0.929,0.984,-76.339,-18.321,7.681,59.201,0.918,3
0.935,0.955,-71.469,-17.787,5.669,64.283,0.871,3
0.941,1,-73.88,-18.06,6,68.834,0.894,3
0.939,0.976,-78.131,-18.157,5.464,60.55,0.911,3
0.939,0.958,-71.736,-18.482,5.91,69.895,0.895,3
0.911,0.917,-70.125,-17.827,6.108,71.829,0.86,3
0.898,0.955,-74.855,-18.21,5.736,60.581,0.887,3
0.882,0.921,-71.687,-18.012,5.534,58.699,0.897,3
0.907,0.969,-71.867,-17.804,6.664,73.994,0.889,3
0.926,0.951,-72.395,-17.847,5.766,59.26,0.871,3
0.933,0.939,-72.898,-18.162,5.658,66.975,0.883,3
0.926,0.953,-72.917,-18.228,6.321,72.979,0.859,3
0.939,0.905,-71.324,-18.315,5.764,64.415,0.893,3
0.894,0.894,-74.844,-18.232,6.369,65.268,0.919,3
0.939,0.93,-74.116,-18.174,4.842,60.392,0.914,3
0.912,0.919,-72.867,-17.972,5.816,64.549,0.907,3
0.861,0.898,-71.363,-18.028,6.202,63.202,0.902,3
0.935,0.956,-74.557,-18.14,5.822,53.04,0.903,3
0.913,0.931,-74.146,-17.488,6.1,73.301,0.894,3
0.914,0.917,-72.6,-17.673,5.482,58.875,0.889,3
0.93,0.846,-73.207,-17.879,6.058,70.748,0.903,3
0.949,0.947,-73.338,-17.916,5.506,60.641,0.893,3
0.923,0.955,-68.962,-18.11,5.342,60.641,0.919,3
0.919,0.953,-71.591,-18.192,6.068,59.541,0.872,3
0.913,0.919,-72.223,-18.075,6.175,59.428,0.911,3
0.958,0.922,-74.452,-18.122,5.727,56.671,0.887,3
0.894,0.882,-72.81,-18.138,6.034,69.47,0.884,3
0.938,0.941,-71.62,-17.986,5.554,62.391,0.886,3
0.919,0.946,-71.897,-18.023,5.585,58.463,0.909,3
0.904,0.975,-70.499,-18.041,5.416,66.055,0.912,3
0.897,0.897,-74.552,-18.288,5.759,60.581,0.919,3
0.953,0.945,-70.711,-18.045,6.559,58.246,0.867,3
0.939,0.913,-73.583,-18.43,5.825,54.308,0.902,3
0.897,0.878,-73.811,-18.072,5.344,70.465,0.93,3
0.909,0.895,-73.474,-17.973,5.957,64.347,0.878,3
0.953,0.947,-79.16,-18.377,5.766,59.788,0.895,3
0.919,0.977,-75.062,-18.524,6.021,69.685,0.909,3
0.886,0.814,-74.209,-18.07,5.338,58.758,0.87,3
0.905,0.864,-74.128,-18.337,5.159,57.557,0.906,3
0.945,0.952,-73.733,-18.065,5.973,62.483,0.875,3
0.935,0.933,-74.851,-18.161,5.765,59.369,0.908,3
0.914,0.951,-71.177,-17.998,5.84,70.677,0.901,3
0.891,0.936,-73.071,-18.293,5.145,60.581,0.901,3
0.918,0.93,-75.124,-17.984,6.071,58.934,0.913,3
0.924,0.977,-71.592,-18.083,8.03,69.041,0.885,3
0.988,0.98,-75.427,-18.152,7.488,70.645,0.884,3
0.937,0.959,-66.925,-18.236,8.389,69.298,0.911,3
0.953,0.971,-73.486,-18.18,8.27,87.694,0.913,3
0.955,0.98,-74.632,-18.274,8.331,60.641,0.894,3
0.966,0.98,-75.69,-18.276,8.254,64.415,0.905,3
0.966,0.951,-74.386,-17.977,7.601,60.581,0.909,3
0.93,0.977,-74.304,-18.005,8.118,68.974,0.892,3
0.951,0.921,-72.986,-18.093,8.22,75.869,0.908,3
0.96,0.977,-74.554,-18.35,7.481,73.668,0.895,3
0.95,0.978,-72.027,-18.31,8.573,69.895,0.905,3
0.981,0.976,-75.625,-17.944,8.024,73.594,0.892,3
0.933,0.939,-74.742,-18.054,7.777,72.291,0.891,3
0.927,0.861,-73.658,-18.313,7.848,69.367,0.855,3
0.917,0.905,-72.627,-18.282,8.702,74.421,0.863,3
0.947,0.956,-75.846,-18.338,7.112,66.121,0.914,3
0.963,0.947,-72.613,-18.023,8.863,65.594,0.888,3
0.961,1,-68.306,-18.083,8.027,68.974,0.887,3
0.953,0.978,-73.294,-18.216,8.706,69.367,0.918,3
0.955,1,-73.927,-18.265,8.103,73.668,0.909,3
0.955,0.978,-74.892,-17.769,8.264,69.09,0.848,3
0.939,0.98,-73.396,-18.336,7.905,77.082,0.899,3
0.956,0.889,-73.205,-17.83,8.225,85.347,0.889,3
0.955,0.953,-75.554,-18.137,7.446,58.934,0.877,3
0.967,0.978,-74.7,-18.007,8.013,59.201,0.893,3
0.953,0.944,-72.124,-18.28,8.529,63.954,0.872,3
0.954,0.949,-74.811,-17.816,7.617,68.871,0.868,3
0.943,0.911,-73.312,-17.87,8.334,69.396,0.898,3
0.955,0.979,-73.893,-18.16,8.456,62.8,0.92,3
0.976,0.964,-73.749,-18.224,7.702,64.35,0.905,3
0.94,0.895,-75.114,-18.096,7.933,68.974,0.888,3
0.95,0.976,-75.636,-18.058,7.486,58.875,0.869,3
0.947,0.971,-74.678,-17.91,8.675,69.041,0.893,3
0.973,0.939,-74.242,-17.753,7.799,69.825,0.864,3
0.927,0.902,-72.189,-18.009,8.281,73.994,0.876,3
0.937,0.931,-67.239,-18.076,7.999,87.291,0.866,3
0.93,0.902,-73.265,-17.733,8.2,73.594,0.858,3
0.951,0.957,-75.237,-18.347,7.903,65.528,0.908,3
0.947,1,-73.634,-18.212,7.334,62.161,0.874,3
0.936,1,-70.752,-18.238,7.266,79.029,0.912,3
0.964,0.964,-72.049,-18.242,8.075,64.347,0.897,3
0.945,0.939,-76.656,-18.068,7.423,59.728,0.904,3
0.978,0.957,-76.036,-18.334,7.925,64.415,0.916,3
0.954,0.69,-69.856,-19.158,15.058,104.699,0.895,4
0.971,0.76,-70.239,-19.169,15.095,118.862,0.899,4
0.944,0.677,-71.18,-19.438,14.936,116.224,0.92,4
0.958,0.625,-72.902,-19.245,13.931,108.615,0.925,4
0.943,0.714,-70.201,-19.723,14.882,98.93,0.951,4
0.94,0.625,-72.756,-19.101,15.034,111.093,0.925,4
0.941,0.621,-70.825,-19.463,14.563,113.961,0.914,4
0.954,0.735,-71.055,-19.567,15.326,88.408,0.943,4
0.95,0.6,-72.152,-19.257,14.46,93.892,0.951,4
0.921,0.464,-72.438,-19.407,14.838,133.664,0.897,4
0.912,0.457,-70.146,-19.372,16.367,118.165,0.915,4
0.896,0.459,-71.973,-19.6,15.056,98.196,0.929,4
0.936,0.571,-73.001,-19.781,14.397,98.736,0.903,4
0.911,0.379,-71.084,-19.72,15.754,113.928,0.949,4
0.942,0.556,-71.478,-19.56,14.964,96.471,0.932,4
0.894,0.472,-73.172,-19.613,15.298,124.034,0.924,4
0.901,0.472,-71.639,-19.513,15.437,98.668,0.905,4
